RELATIONSHIP_NAME,MERCHANT_ID,MERCHANT_NAME,TRANSACTION_DATE,TRANSACTION_TYPE,TOTAL_TRANSACTIONS,APPROVED_TRANSACTIONS,DECLINED_TRANSACTIONS,ACTUAL_APPROVAL_RATE,APPROVAL_RATE_PCT,DECLINE_RATE_PCT,CRITICAL_THRESHOLD,AVERAGE_TRANSACTIONS,SAMPLE_COUNT,STD_DEVIATION,BREACH_MAGNITUDE,IMPACT_SCORE
CVS/CAREMARK,8307196,CVS.COM,3/1/26,ECOMMERCE,121377,100471,20906,82.78,82.78,17.22,92.58,110000,21,500,CRITICAL,57.5
CVS/CAREMARK,8307196,CVS.COM,3/2/26,ECOMMERCE,136377,104171,32206,76.25,76.25,23.75,92.58,110000,21,500,CRITICAL,582.4
CONSUMER,7800,CONSUMER,3/1/26,ECOMMERCE,121377,100471,20906,82.78,82.78,17.22,92.58,110000,21,500,CRITICAL,97.6
CONSUMER,7800,CONSUMER,3/2/26,ECOMMERCE,136377,104171,32206,76.25,76.25,23.75,92.58,110000,21,500,CRITICAL,232.1
GLOBAL COL,10785133,VALVE CORP,3/1/26,ECOMMERCE,121377,100471,20906,82.78,82.78,17.22,92.58,110000,21,500,CRITICAL,132.3
GLOBAL COL,10785133,VALVE CORP,3/2/26,ECOMMERCE,136377,104171,32206,76.25,76.25,23.75,92.58,110000,21,500,CRITICAL,194.4
"NETFLIX, INC",8763194,NETFLIX SERV,3/1/26,ECOMMERCE,121377,100471,20906,82.78,82.78,17.22,92.58,110000,21,500,CRITICAL,137.6
"NETFLIX, INC",8763194,NETFLIX SERV,3/2/26,ECOMMERCE,136377,104171,32206,76.25,76.25,23.75,92.58,110000,21,500,CRITICAL,160.5
TARGET RETAIL,9900112,TARGET CORP,3/1/26,ECOMMERCE,121377,100471,20906,82.78,82.78,17.22,92.58,110000,21,500,CRITICAL,79.2
TARGET RETAIL,9900112,TARGET CORP,3/2/26,ECOMMERCE,136377,104171,32206,76.25,76.25,23.75,92.58,110000,21,500,CRITICAL,118.5
COFFEE PARTNERS,4400551,STARBUCKS,3/1/26,ECOMMERCE,121377,100471,20906,82.78,82.78,17.22,92.58,110000,21,500,CRITICAL,80.6
COFFEE PARTNERS,4400551,STARBUCKS,3/2/26,ECOMMERCE,136377,104171,32206,76.25,76.25,23.75,92.58,110000,21,500,CRITICAL,246.6
APPLE RETAIL,2200883,APPLE.COM,3/1/26,ECOMMERCE,121377,100471,20906,82.78,82.78,17.22,92.58,110000,21,500,CRITICAL,58.3
APPLE RETAIL,2200883,APPLE.COM,3/2/26,ECOMMERCE,136377,104171,32206,76.25,76.25,23.75,92.58,110000,21,500,CRITICAL,615.1
HOME IMPROVEMENT,6600442,HOME DEPOT,3/1/26,ECOMMERCE,121377,100471,20906,82.78,82.78,17.22,92.58,110000,21,500,CRITICAL,102.8
HOME IMPROVEMENT,6600442,HOME DEPOT,3/2/26,ECOMMERCE,136377,104171,32206,76.25,76.25,23.75,92.58,110000,21,500,CRITICAL,194.7
